filename,role,company,salary,application-date,interview-date,end-date,status,source-url
"Optimus Research ERFAHRENER ANFORDERUNGS-ENTWICKLERIN","ERFAHRENE:R ANFORDERUNGS-ENTWICKLER:IN","Optimus Research","","2025-08-22","","2025-08-25","rejected","https://www.linkedin.com/jobs/view/4283601170/?alternateChannel=search&eBP=CwEAAAGY0QMfYOcYH1hl4Va6kp2DZHvRIQkmTdbPzGcbCeqk6CU6jpPBpeDhHKOrF7MHQ6gEiV4m_GlUAWNhU9CqOUjFjrVNGT29ycMF7ROy73Jk1Umkjmbd3s689U55jUQxD7gemM-N189sOgMeH0pkG37yaBUKoLcC-ggrHcmxU2UghJ7d-yv4IKfo-FfcjSvweHIFL1btcFBKeCaRmpgOaFVRNWdVXqetMZ0x70UdRSalKG5pXD15mNrPamkgrMg2ipKRJ27p1XeLwpsYu3QK95Jb9Cmmcp28lIoxz4p0iaEiaGXrBm6J7GsJRIdzFi7u4ztzWz1oF826c0yd6-DRTcsuh5oEdueClDdCEZbhNlrL6XF8vP52bV7yBT8PS2oCzceASCQLAfHdal_RoX9-J_BVZwDxJwRGnqGx03NUdhTHICBjyyefacT5qMVH7a_GdtMoEd_urGUpDkDWVMqQBeqPeH0&refId=33ZHhrQeeRnJKY8SjAXEJA%3D%3D&trackingId=q1nAtWeRsIjMYM20rpvC7g%3D%3D"
"Optimus Search Requirements Engineer Batteriespeicher","Requirements Engineer Batteriespeicher","Optimus Search","","2025-07-30","","2025-08-02","rejected","https://www.linkedin.com/jobs/view/4270154552/?refId=b%2BGzfj91TGSnec3%2BQ9O3dQ%3D%3D&trackingId=jIvd%2Bdx4T8OhlcXqPCAb5A%3D%3D"
"Optimus Search Requirements Engineer","Requirements Engineer","Optimus Search","","2025-08-05","","2026-01-29","ghosted","https://www.linkedin.com/jobs/view/4269666151/?trackingId=sZahpYq0Qyqtc0hdNXkwkA%3D%3D&refId=CNXGNmLpS6uAkkWJuaiqAg%3D%3D&midToken=AQEcO_kITRvO_Q&midSig=3cJMAWLNgUaHU1&trk=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body&trkEmail=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body-null-55irmn~mdyfmdf2~b5-null-null&eid=55irmn-mdyfmdf2-b5&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDMxYWU0YmQ4ZWM2ZDY0ODk5YWY4ZDYxNzljMjA1NmI0NzUyNWJmMWYzZGZhYWIwNTRkOGQxZjU0NjgwOTI3YjA0OTRiZGE0NDUwNTNjMGQzMzM1MWVmYjFkYTgsMSwx"
"Optimus Search Senior Systems Expert (Battery Storage)","Senior Systems Expert (Battery Storage)","Optimus Search","","2025-07-08","","2026-01-29","ghosted",""
"Optimus Search System Engineer 1","System Engineer","Optimus Search","","2025-05-25","","2026-01-29","rejected",""
"Optimus Search System Engineer 2","System Engineer","Optimus Search","","2025-07-26","","2026-01-29","ghosted","https://www.linkedin.com/jobs/view/4269659289/?trackingId=lABQHRd1SRiFlQ768jFWHQ%3D%3D&refId=PffKpfcQQuGLc1Nk%2BLjO4g%3D%3D&midToken=AQEcO_kITRvO_Q&midSig=1av6rkOYN5YHQ1&trk=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body&trkEmail=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body-null-55irmn~mdk7xpw9~0-null-null&eid=55irmn-mdk7xpw9-0&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDMxZGUyYjc4ZGNhZDc0MjljYWU4YzYxNzljMjA1NmI0NzUyNWJmMWYzZGZkNDk0NzBlOGM4ZGUwNjk4MzhkYzFiZDM3ZDNkNjFjMTAxMWZmNDk5YzA4ODMxZTYsMSwx"
"Optimus Search System Engineer 3","System Engineer","Optimus Search","","2025-05-02","","2026-01-29","rejected","https://www.linkedin.com/jobs/view/4220091794/?trackingId=jA2TnGf0SpaCJqwPUlUaLw%3D%3D&refId=yCb2wMyEQN2NhVhc2HMvZQ%3D%3D&midToken=AQEcO_kITRvO_Q&midSig=27WMoUg1mZ5bM1&trk=eml-email_application_confirmation_with_nba_01-applied_jobs-0-job_posting&trkEmail=eml-email_application_confirmation_with_nba_01-applied_jobs-0-job_posting-null-55irmn~ma6wzitg~7x-null-null&eid=55irmn-ma6wzitg-7x&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDIxOGU2YmQ4OGM4ZDM0NDllYWU4YTYxNzljMjA1NmI0NzUyNWJmMWYzZGZiMDgwNzJjNGQzZGQ3OWJlYmQ0MWE1NTczZDI0ODA3ODJiY2NjYjkxNmY5Nzg5MWMsMSwx"
"Optimus Search System Engineer","System Engineer","Optimus Search","","2025-07-09","","2026-01-29","ghosted",""
"Optimyze Consulting Network Team Lead","Network Team Lead","Optimyze Consulting","","2025-05-27","","2025-06-30","rejected","https://www.linkedin.com/jobs/view/4240106516/?trackingId=&refId=&midToken=AQEcO_kITRvO_Q&midSig=2F5tP31_myIbM1&trk=eml-email_jobs_application_rejected_01-applied_jobs-0-applied_job&trkEmail=eml-email_jobs_application_rejected_01-applied_jobs-0-applied_job-null-55irmn~mbaikq3c~ws-null-null&eid=55irmn-mbaikq3c-ws&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDIxNmUyYmQ4ZGNmZDc0NDkxYWM4OTYxNzljMjA1NmI0NzUyNWJmMWYzZGY4M2UxNjhiOGVmZjc1OGE4YzI2ZjI2NTBjODIzY2YwMWEzNTJkMTg5MmZjYmQyMGYsMSwx"
"MaxSolar GmbH (Senior) Projektentwickler – BESS (m-w-d)","(Senior) Projektentwickler – BESS (m/w/d)","MaxSolar GmbH","95000","2025-12-05","","2025-12-18","rejected","https://www.stepstone.de/jobs----13137968-inline.html"
"Nagarro Proposal & Project Management Coordinator","Proposal & Project Management Coordinator","Nagarro","95000","2025-11-06","","2025-11-12","rejected","https://www.linkedin.com/jobs/view/4321072063/"
"PROTH!NX Product Owner","Product Owner","PROTH!NX","","","","","open","https://www.linkedin.com/jobs/view/4282833464/?trackingId=Db7yaPLTR8egZCv7ccEUJQ%3D%3D&refId=Mk4ZOglBRJe7fKmquAiAHg%3D%3D&midToken=AQEcO_kITRvO_Q&midSig=0XaU_yYZ0PpXU1&trk=eml-jobs_jymbii_digest-job_card-0-jobcard_body&trkEmail=eml-jobs_jymbii_digest-job_card-0-jobcard_body-null-55irmn~medxabww~2u-null-null&eid=55irmn-medxabww-2u&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDMxYmU0YjY4N2NiZDQ0NTk4YWI4NzYxNzljMjA1NmI0NzUyNWJmMWYzZGZhYzlkNGNkNGZjZjI2ZjlhMDNjOGZiMTA1MjdlYTU3NjRmZTIwZDg4OTNkOTEzOTQsMSwx"
"PURVIEW Project Lead in Data Science & AI","Project Lead in Data Science & AI","PURVIEW","","2025-05-15","","2025-05-18","rejected","https://www.linkedin.com/jobs/view/4227985438/?trackingId=&refId=&midToken=AQEcO_kITRvO_Q&midSig=0mrpXRmsnIrHM1&trk=eml-email_jobs_application_rejected_01-applied_jobs-0-applied_job&trkEmail=eml-email_jobs_application_rejected_01-applied_jobs-0-applied_job-null-55irmn~mattoeo4~m1-null-null&eid=55irmn-mattoeo4-m1&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDIxOWUyYmM4ZGM2ZDA0MTlhYWE4ZDYxNzljMjA1NmI0NzUyNWJmMWYzZGY5Zjg1NTBkMGI4ODM2NTk4NmYyNzBlYWQ4YzQxOWExMTZhMzFhOWI2NWEzYjk5YTksMSwx"
"Packmatic Product Lead","Product Lead","Packmatic","","2025-05-27","","2025-06-30","rejected","https://www.linkedin.com/jobs/view/4237532127/?trackingId=&refId=&midToken=AQEcO_kITRvO_Q&midSig=3KvFp6WrjAIrM1&trk=eml-email_jobs_application_rejected_01-applied_jobs-0-applied_job&trkEmail=eml-email_jobs_application_rejected_01-applied_jobs-0-applied_job-null-55irmn~mbau49vd~ma-null-null&eid=55irmn-mbau49vd-ma&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDIxNmUxYjU4ZWNhZDY0Nzk5YWM4ZTYxNzljMjA1NmI0NzUyNWJmMWYzZGZkMGJkNDZkYWRhODY0MjliN2U5ZjM5MjBlZjMzMmEwZjU3ZTY4OGE0M2M2NWJiMjAsMSwx"
"Perspective Senior Platform Engineer","Senior Platform Engineer","Perspective","","2026-02-03","","2026-02-17","rejected",""
"Piper Maddox Head of BESS Engineering","Head of BESS Engineering","Piper Maddox","","2025-10-30","","2026-03-30","ghosted","https://www.linkedin.com/jobs/view/4316958848/"
"Piper Maddox Senior Projectentwickler BESS","Senior Projectentwickler BESS","Piper Maddox","","2025-07-30","","2026-01-29","ghosted","https://www.linkedin.com/jobs/view/4241145700/?trackingId=zDL%2BVjn9QGOiOXdMkljKkQ%3D%3D&refId=rQ263IGxT%2B%2BILDIsY0wt%2FA%3D%3D&midToken=AQEcO_kITRvO_Q&midSig=2ImtjWWWNP2bU1&trk=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body&trkEmail=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body-null-55irmn~mdpushbi~xb-null-null&eid=55irmn-mdpushbi-xb&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDMxZGVmYjM4Y2NmZDU0MzliYTk4OTYxNzljMjA1NmI0NzUyNWJmMWYzZGZiM2ExNzBmNGUxODQ1ZGYyMjViYmMxMzY3YjdiODVkZjc4NTdkMWQ2NjZlOThlNzMsMSwx"
"PDR Cloud Technical Product Owner","Product Owner","PDR.Cloud GmbH","88000","2026-02-13","","2026-03-04","rejected","https://app.instaffo.com/candidate/job/e3896552-94b5-4176-97aa-9af2a6bffdc4?chat=1"
"PrimeIT Data Analyst Qlik","Data Analyst Qlik","PrimeIT","","2025-08-07","","2026-01-29","ghosted",""
"Proclinical Staffing Senior Technical Project Manager","Senior Technical Project Manager","Proclinical Staffing","","2025-05-21","","2025-06-21","rejected","https://www.linkedin.com/jobs/view/4226739283/?trackingId=2MdtHxGxRnS3w1ukBQpRdQ%3D%3D&refId=msCuKTmuRk6lo0i0VDG5ZQ%3D%3D&midToken=AQEcO_kITRvO_Q&midSig=3LcYvpy8PkvHM1&trk=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body&trkEmail=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body-null-55irmn~maxv5rkv~cq-null-null&eid=55irmn-maxv5rkv-cq&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDIxOWVmYjY4OGNmZDU0NTljYWY4NzYxNzljMjA1NmI0NzUyNWJmMWYzZGY4MmI5MTZjZWVmZmI1N2JlOTA5MGM1NGZiMGFlZmRmYmE1N2NjMWYzYTg5MzVhNDAsMSwx"
"Procure AI Product Architect","Product Architect","Procure AI","","2026-03-27","","","waiting","https://revolutpeople.com/procureai/public/careers/position/product-architect-product-strategist-m-f-d-cb034a3e-d087-4188-93c7-b6b810660e65"
"Plant Pharma Product Owner","Product Owner","Plant Pharma","","2026-03-31","","2026-04-03","rejected","https://www.linkedin.com/jobs/view/4390179149/?trk=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body_4390179149&refId=GTgnCG6gRhaIXb%2FkAz2isw%3D%3D&trackingId=rOTPskdzRxe6KhIJtfd%2B3Q%3D%3D"
"PROLOGA Senior Product Owner Circular Economy","Senior Product Owner","PROLOGA GmbH","90000","2026-03-30","","2026-04-10","rejected","https://app.instaffo.com/candidate/job/b466b7f1-6fed-4310-a9fe-2abfa5e0dfc6?chat=1"
"PwC Berater Data & Analytics Strategie (w-m-d)(1054)","Berater Data & Analytics Strategie (w/m/d)(1054)","PwC","95000","2025-11-08","","2025-11-14","rejected","https://jobs.pwc.de/de/en/job/1054/Berater-Data-Analytics-Strategie-w-m-d"
"REWE Product Owner Analytics","Product Owner Analytics","REWE Group","90000","2026-02-09","","2026-03-30","rejected","https://karriere.rewe-group.com/konzernzentrale/job/Köln-%28Senior%29-Product-Owner-Analytics-%28mwd%29-NW-50933/1273582801/?feedId=172701&utm_source=careersite&utm_campaign=rewe"
"Remobi Data Engineer","Data Engineer","Remobi","","2026-03-23","","2026-03-26","rejected","https://www.linkedin.com/jobs/view/4385926011/?trk=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body_4385926011&refId=Dvl3ONFJTYS%2FfzI8dt2zdQ%3D%3D&trackingId=HdptWTXYR9m1KZK%2By55Isw%3D%3D"
"Remobi Project Lead","Project Lead","Remobi","","2025-08-06","","2025-08-11","rejected","https://www.linkedin.com/jobs/view/4278807929/?trackingId=&refId=&midToken=AQEcO_kITRvO_Q&midSig=2O-PlulUYRjbU1&trk=eml-email_jobs_application_rejected_01-applied_jobs-0-applied_job&trkEmail=eml-email_jobs_application_rejected_01-applied_jobs-0-applied_job-null-55irmn~me72fuul~pe-null-null&eid=55irmn-me72fuul-pe&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDMxYWVlYjU4Y2M3ZDU0OTk4YWY4ZDYxNzljMjA1NmI0NzUyNWJmMWYzZGY4Zjg3NmVjMWJiZTE0NzhlYjI1MTE5OWU4ZWQ5ZmY0MzQ4MTFmZDkxYjM2NzEwM2UsMSwx"
"PROLOGA Senior Product Owner Utilities","Senior Product Owner","PROLOGA GmbH","90000","2026-03-30","","2026-04-10","rejected","https://app.instaffo.com/candidate/job/3ae145b6-582e-469d-b864-7fab1c3d0f09?chat=1"
"Rohde & Schwarz Hardware Systemarchitekt (m-w-d) für breitbandige Kommunikationssysteme","Hardware Systemarchitekt (m/w/d) für breitbandige Kommunikationssysteme","Rohde & Schwarz","95000","2025-07-30","","2025-09-02","rejected","https://www.rohde-schwarz.com/uk/career/jobs/hardware-systemarchitekt-m-w-d-fuer-breitbandige-kommunikationssysteme-job-detailpage_251563-1576706.html"
"Proxify Senior Data Engineer (Python)","Senior Data Engineer","Proxify","","2026-03-23","","","waiting","https://www.linkedin.com/jobs/view/4386732873/?trk=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body_4386732873&refId=o4hsc7SwS6yNcz6mme6Imw%3D%3D&trackingId=XfdoZOR5QSeW4P3u0sWA7w%3D%3D"
"Rewe Data Scientist","Data Scientist","REWE Group","88000","2026-04-07","","2026-04-20","rejected","https://karriere.rewe-group.com/konzernzentrale/job/Köln-%28Senior%29-Data-Scientist-Analytics-%28mwd%29-NW-50933/1020187601/"
"SMART BMS AppExpert Project Lead","Project Lead SMART BMS","AppExpert","","2025-07-01","","2025-08-04","rejected",""
"SRG Project Development Team Lead","Project Development Team Lead","SRG","","2025-12-03","","2025-12-05","rejected","https://www.linkedin.com/jobs/view/4338781080/"
"Schneider Electric Data Center Solution Design Engineer","Data Center Solution Design Engineer","Schneider Electric","","2025-12-08","","2026-01-29","rejected","https://careers.se.com/jobs/100127?lang=de-de&previousLocale=en-US"
"Ratbacher Product Owner KI Produkte","Product Owner","Ratbacher","","2026-03-31","","2026-04-15","rejected","https://www.stepstone.de/stellenangebote--Product-Owner-AI-m-w-d-KI-Produkt-Manager-Karlsruhe-Pforzheim-Berlin-Frankfurt-Home-Office-Ratbacher-GmbH--13821215-inline.html?rltr=ma_ap_0_0_0_0_0"
"Siemens Energy Solution Architect","Solution Architect","Siemens Energy","","2025-08-13","","2025-08-24","rejected","https://jobs.siemens-energy.com/en_US/jobs/FolderDetail/HVDC-Solution-Architect-f-m-d/251386"
"Signify Technology Technical Project Manager","Technical Project Manager","Signify Technology","","2025-06-04","","","ghosted","https://www.linkedin.com/jobs/view/4237222672/?trackingId=&refId=&midToken=AQEcO_kITRvO_Q&midSig=0oOXlfLZrEQHM1&trk=eml-email_jobs_job_application_viewed_01-applied_jobs-0-applied_job&trkEmail=eml-email_jobs_job_application_viewed_01-applied_jobs-0-applied_job-null-55irmn~mbj82aig~6a-null-null&eid=55irmn-mbj82aig-6a&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDIxN2U2YjU4N2M4ZDE0Njk4YWQ4ZDYxNzljMjA1NmI0NzUyNWJmMWYzZGY4OTgyNThlYWRkYzE2Yzk4MzFkYzg4NWY2OWQwMzhhOWE4YjhjM2ZmNmE0NWFiZjQsMSwx"
"Rola Requirements Engineer Business Analyst","Requirements Engineer Business Analysr","rola","","2026-02-28","","2026-03-17","rejected","https://www.stepstone.de/jobs----13579814-inline.html"
"Scieneers Team Lead Data Science","Team Lead","Scieneers","90000","2026-04-08","","2026-04-20","rejected","https://www.stepstone.de/stellenangebote--Senior-Data-Architect-w-m-x-Muenchen-Frankfurt-a-M-Stuttgart-Koeln-Hamburg-Ettlingen-Wolfsburg-Erfurt-Rosenheim-Berlin-NTT-DATA--13808346-inline.html"
"RoomPriceGenie Data Engineering Team Lead","Data Engineering Team Lead","RoomPriceGenie","89000","2026-03-17","","2026-03-20","rejected","https://roompricegenie.com/careers/?ashby_jid=692b389d-e435-428a-a3e2-c18611f3a451#jobs"
"Sunjob Consulting Senior Project Manager Battery Storage at Second Foundation","Senior Project Manager Battery Storage at Second Foundation","Sunjob Consulting","95000","2025-11-04","","2025-11-11","rejected","https://www.linkedin.com/jobs/view/4311955360/"
"SystemsAccountants Netsuite Project Lead","Netsuite Project Lead","SystemsAccountants","","2025-08-04","","2026-01-29","ghosted","https://www.linkedin.com/jobs/view/4263968911/?trackingId=MDCkAqlQQN%2Bc1rDFH%2FPbCA%3D%3D&refId=R4gD9mb7TKi5wjnynz00Kw%3D%3D&midToken=AQEcO_kITRvO_Q&midSig=0Lhb6eHK5P9HU1&trk=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body&trkEmail=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body-null-55irmn~mdxh3v5t~bk-null-null&eid=55irmn-mdxh3v5t-bk&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDMxYWU0Yjc4Y2M3ZDk0NTljYWE4NzYxNzljMjA1NmI0NzUyNWJmMWYzZGY4ZTk2NzVjOGViZjg2MTgwMmQzNTA2MDA2N2EwZWQyODA2MmMwY2U0ZmUyMzI0ZWQsMSwx"
"THRYVE Product Analyst","Product Analyst","THRYVE","","2025-08-06","","2026-01-29","ghosted","https://www.linkedin.com/jobs/view/4275331648/?trackingId=UvDJwDyOT52svYH7VhkIGQ%3D%3D&refId=pGbQZjJsRQKLue7%2B%2BVf7kg%3D%3D&midToken=AQEcO_kITRvO_Q&midSig=1s_Ea5svbcbXU1&trk=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body&trkEmail=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body-null-55irmn~mdzumjus~kd-null-null&eid=55irmn-mdzumjus-kd&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDMxYWUzYjM4OGNiZDM0NjlkYWU4ZTYxNzljMjA1NmI0NzUyNWJmMWYzZGZiMGJhMTNjN2VlZGE2ZmZkMzc1MTcwYzQzNjgyMzc4YTYzNzI4MDM4ODA4ZTUwNjQsMSwx"
"Solar-Log Product Owner","Product Owner","Solar-Log GmbH","","2026-04-08","2026-05-11","","interviewing","https://www.linkedin.com/jobs/view/4398370342/"
"SozialBank Senior Data Engineer","Senior Data Engineer","SozialBank AG","89000","2026-03-30","","2026-04-09","rejected","https://www.stepstone.de/stellenangebote--Senior-Data-Engineer-m-w-d-Koeln-SozialBank--13765731-inline.html"
"Taylor Hopkins Senior Power Systems Expert","Senior Power Systems Expert","Taylor Hopkins","","2025-10-28","","2026-03-23","ghosted","https://www.linkedin.com/jobs/view/4317592544/"
"Taylor Hopkins by Brunel System Engineer BESS Germany","System Engineer BESS Germany","Taylor Hopkins by Brunel","","2025-08-20","","2025-09-30","ghosted","https://www.linkedin.com/jobs/view/4286660361/?refId=&trackingId="
"Team EDDA Director BESS Engineering","Director BESS Engineering","Team EDDA","","2025-10-30","","2025-11-10","rejected","https://www.linkedin.com/jobs/view/4318982410/"
"Tomorrow Things Product Manager","Product Manager","Tomorrow Things","","2025-06-21","","2025-06-24","rejected","https://www.linkedin.com/jobs/view/4243865216/?trackingId=&refId=&midToken=AQEcO_kITRvO_Q&midSig=3Uw3v-0dvQfrQ1&trk=eml-email_jobs_application_rejected_01-applied_jobs-0-applied_job&trkEmail=eml-email_jobs_application_rejected_01-applied_jobs-0-applied_job-null-55irmn~mcaezqd8~c9-null-null&eid=55irmn-mcaezqd8-c9&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDMxZWUwYjI4ZGM2ZDQ0MDllYTk4YjYxNzljMjA1NmI0NzUyNWJmMWYzZGZkMDk1NmJlZmRhYzgwN2YyYjA1NTJjYjQwZWNmN2NhNDU3OTE5OTBlMDU5ZDM0NTMsMSwx"
"Tibber Engineering Manager","Engineering Manager","Tibber","","2025-12-08","","2025-12-15","rejected","https://jobs.tibber.com/jobs/6531949-engineering-manager"
"Vattenfall Project Engineer - Battery Energy Storage Systems","Project Engineer - Battery Energy Storage Systems","Vattenfall","","2025-09-12","","2025-09-30","ghosted","https://careers.vattenfall.com/global/job/project-engineer-battery-energy-storage-systems-in-berlin-jid-49382?_atxsrc=LinkedIn&utm_source=LinkedIn&trid=2d92f286-613b-4daf-9dfa-6340ffbecf73"
"Venios GmbH Lead Produktmanagerin Smart Grid-Software","Lead Produktmanager:in Smart Grid-Software","Venios GmbH","88000","2026-01-23","","2026-01-30","rejected","https://app.instaffo.com/candidate/job/edb2d742-d059-4a28-ad22-17965da93c39?chat=1"
"Vention Senior Application Design Engineer - Robotics & Automation","Senior Application Design Engineer - Robotics & Automation","Vention","","","","","open","https://www.linkedin.com/jobs/view/4281851182/?trackingId=ugVTPohLSZqQTp5u%2BPJszQ%3D%3D&refId=qdFnwqDLRD65WXMgoClViQ%3D%3D&midToken=AQEcO_kITRvO_Q&midSig=3iy1ipBEvHsHU1&trk=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body&trkEmail=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body-null-55irmn~megwgd1f~9u-null-null&eid=55irmn-megwgd1f-9u&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDMxYmUyYjQ4N2NiZDM0NzlkYTc4YTYxNzljMjA1NmI0NzUyNWJmMWYzZGZkM2E1NjlkYWJkYzU3NWY4MjQyNzRkOTViNTYwNzUwM2UzNjk1N2ZiNDg2YTdjYWUsMSwx"
"WEKA Technical Project Manager - Professional Services","Technical Project Manager","WEKA","","2025-12-18","","2026-03-23","ghosted","https://www.weka.io/company/careers/?gh_jid=5002037007"
"WeEngange Group  B Corp Product Manager (Hardware - Electronics)","Product Manager (Hardware / Electronics)","WeEngange Group | B Corp","","2025-10-09","","2026-03-23","ghosted","https://www.linkedin.com/jobs/view/4311665108/"
"SpotmyEnergy Project Manager","Project Manager","SpotmyEnergy","88000","2026-03-24","","2026-03-30","rejected","https://spotmyenergy.jobs.personio.de/job/2507407?language=en&display=de"
"Tesvolt Product Owner Netzintegration","Product Owner","Tesvolt AG","90000","2026-03-05","2026-03-13","2026-03-19","rejected","https://www.linkedin.com/jobs/view/4381455598/?refId=1PuQHSIuANkF88MCAu46XA%3D%3D&trackingId=1PuQHSIuANkF88MCAu46XA%3D%3D"
"azeti GmbH Product Owner","Product Owner","azeti GmbH","90000","2026-02-26","","2026-03-02","rejected","https://www.stepstone.de/stellenangebote----13638464-inline.html?CID=R_EM_JaJob_DE_ST_26022026_JA_Herdwick_NenQuery_D_jobTitle&lang=de&adjust_t=1bgr3y8t_1bzc1r1h&adjust_campaign=JA&state=0"
"Vizzlo Product Manager","Product Manager","Vizzlo","88000","2026-04-14","","","waiting","https://join.com/companies/vizzlocom/15976680-product-manager-data-viz-startup-b2b-saas"
"e.venture consulting Consultant Energiewirtschaft","Consultant Energiewirtschaft","e.venture consulting","","2025-11-03","","2025-12-05","rejected","https://www.linkedin.com/jobs/view/4318046709/"
"developrec Technical Head of Product","Technical Head of Product","developrec","","2025-05-21","","2026-01-29","ghosted","https://www.linkedin.com/jobs/view/4232796365/?trackingId=RnTlwAI1TGupUJ%2B4MfUOVg%3D%3D&refId=hrrY7Lg%2BTuKNiLpOo43s%2Fg%3D%3D&midToken=AQEcO_kITRvO_Q&midSig=35bQKqhXTevHM1&trk=eml-email_application_confirmation_with_nba_01-applied_jobs-0-job_posting&trkEmail=eml-email_application_confirmation_with_nba_01-applied_jobs-0-job_posting-null-55irmn~maxuxlcn~bs-null-null&eid=55irmn-maxuxlcn-bs&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDIxOWVmYjY4OWM5ZDc0Mjk4YTc4OTYxNzljMjA1NmI0NzUyNWJmMWYzZGY4ZGI4MTBkMGU1ZmQ3NDgzNzAzZGFjOWI1MjNlYjZhNDNlZGRiNTEwMTdmMTU2ZTUsMSwx"
"enua Data Platform Engineer","Data Engineer","enua Pharma GmbH","88000","2026-03-31","","2026-04-01","rejected","https://www.stepstone.de/stellenangebote--Data-Platform-Engineer-Azure-w-m-d-Koeln-enua-Pharma-GmbH--13743872-inline.html"
"green flexibility Business Data Analyst (m-w-d) – Pipeline & Reporting","Business Data Analyst (m/w/d) – Pipeline & Reporting","green flexibility","90000","2026-01-08","","2026-02-04","rejected","https://green-flexibility.jobs.personio.de/job/2447322?language=en&display=de"
"bilstein Product Data Analyst Manager","Data Analyst Manager","bilstein Group","86000","2026-04-09","","2026-04-23","rejected","https://www.stepstone.de/stellenangebote--Product-Data-Analyst-m-w-d-Manager-Produktdaten-Analyst-Ennepetal-Ferdinand-Bilstein-GmbH-Co-KG--13809250-inline.html"
"iO Associates Technical Project Manager","Technical Project Manager","iO Associates","","2025-08-05","","2026-01-29","ghosted","https://www.linkedin.com/jobs/view/4280318288/?trackingId=y8ay9%2FFzQ9ifryMQeCQOLw%3D%3D&refId=%2FXuTGHHHRxelygSKx9dFbg%3D%3D&midToken=AQEcO_kITRvO_Q&midSig=28TUs8Ya06bbU1&trk=eml-email_application_confirmation_with_nba_01-applied_jobs-0-job_posting&trkEmail=eml-email_application_confirmation_with_nba_01-applied_jobs-0-job_posting-null-55irmn~mdyw4igt~8n-null-null&eid=55irmn-mdyw4igt-8n&otpToken=MTEwNDFmZTYxMjJhY2NjM2IxMjQwNGVkNDMxYWUzYjU4NmNiZDg0ODk4YWM4ZTYxNzljMjA1NmI0NzUyNWJmMWYzZGY4MGU0NGNkN2I4YzA2MWZjZTRlMjk4NzllZmEzNmNhOTEwYmU1MmRkYTU0NTIyMWIsMSwx"
"inovex GmbH Data Engineer","Data Engineer","inovex GmbH","","2026-02-27","","2026-03-30","rejected","https://www.stepstone.de/stellenangebote----11713465-inline.html?CID=R_EM_JaJob_DE_ST_16082025_jobTitle&lang=de&adjust_t=1bgr3y8t_1bzc1r1h&adjust_campaign=JA&offer_position=2"
"fulfillmenttools Data and BI Engineer","Data Engineer","fulfillmenttools","","","","","open","https://www.stepstone.de/stellenangebote----13589379-inline.html?CID=R_EM_JaJob_DE_ST_02032026_jobTitle&lang=de&adjust_t=1bgr3y8t_1bzc1r1h&adjust_campaign=JA&state=0"
"inovex Senior Data Engineer Machine Learning Engineer","Senior Data Engineer","inovex GmbH","90000","2026-03-24","","2026-03-30","rejected","https://www.inovex.de/de/karriere/stellenangebote/senior-data-engineer-ml-engineer/"
